taxon,classification
Dasycercus_cristicauda,other Australidelphia
Dasykaluta_rosamondae,other Australidelphia
Dasymys_incomtus,Rodentia
Dasypus_septemcinctus,Xenarthra
Dasyuroides_byrnei,other Australidelphia
Dasyurus_albopunctatus,other Australidelphia
Dasyurus_geoffroii,other Australidelphia
Dasyurus_hallucatus,other Australidelphia
Dasyurus_maculatus,other Australidelphia
Dasyurus_spartacus,other Australidelphia
Dasyurus_viverrinus,other Australidelphia
Daubentonia_madagascariensis,Primates
Delanymys_brooksi,Rodentia
Dipodillus_simoni,Rodentia
Dipodomys_agilis,Rodentia
Dipodomys_californicus,Rodentia
Dipodomys_compactus,Rodentia
Dipodomys_deserti,Rodentia
Dipodomys_elator,Rodentia
Dipodomys_gravipes,Rodentia
Dipodomys_heermanni,Rodentia
Dipodomys_ingens,Rodentia
Dipodomys_merriami,Rodentia
Dipodomys_microps,Rodentia
Dipodomys_nelsoni,Rodentia
Dipodomys_nitratoides,Rodentia
Dipodomys_ordii,Rodentia
Dipodomys_panamintinus,Rodentia
Dipodomys_phillipsii,Rodentia
Dipodomys_spectabilis,Rodentia
Dipodomys_stephensi,Rodentia
Dipodomys_venustus,Rodentia
Dipus_sagitta,Rodentia
Distoechurus_pennatus,Diprotodontia
Dobsonia_anderseni,Chiroptera
Dobsonia_beauforti,Chiroptera
Dobsonia_crenulata,Chiroptera
Dobsonia_emersa,Chiroptera
Dobsonia_exoleta,Chiroptera
Dobsonia_inermis,Chiroptera
Dobsonia_magna,Chiroptera
Dobsonia_minor,Chiroptera
Dobsonia_moluccensis,Chiroptera
Dobsonia_pannietensis,Chiroptera
Dobsonia_peronii,Chiroptera
Dobsonia_praedatrix,Chiroptera
Dobsonia_viridis,Chiroptera
Dolichotis_patagonum,Rodentia
Dolichotis_salinicola,Rodentia
Dologale_dybowskii,Carnivora
Dorcatragus_megalotis,Artiodactyla
Dorcopsis_atrata,Diprotodontia
Dorcopsis_hageni,Diprotodontia
Dorcopsis_luctuosa,Diprotodontia
Dorcopsis_muelleri,Diprotodontia
Dorcopsulus_macleayi,Diprotodontia
Dorcopsulus_vanheurni,Diprotodontia
Dremomys_everetti,Rodentia
Dremomys_lokriah,Rodentia
Dremomys_pernyi,Rodentia
Dremomys_rufigenis,Rodentia
Dromiciops_gliroides,other Australidelphia
Dryomys_laniger,Rodentia
Dryomys_nitedula,Rodentia
Dugong_dugon,Afrotheria
Dyacopterus_spadiceus,Chiroptera
Dymecodon_pilirostris,Eulipotyphla
Echimys_chrysurus,Rodentia
Echimys_saturnus,Rodentia
Echimys_semivillosus,Rodentia
Echinoprocta_rufescens,Rodentia
Echinops_telfairi,Afrotheria
Echinosorex_gymnura,Eulipotyphla
Echymipera_clara,other Australidelphia
Echymipera_davidi,other Australidelphia
Echymipera_echinista,other Australidelphia
Echymipera_kalubu,other Australidelphia
Echymipera_rufescens,other Australidelphia
Ectophylla_alba,Chiroptera
Eidolon_dupreanum,Chiroptera
Eidolon_helvum,Chiroptera
Eira_barbara,Carnivora
Elaphodus_cephalophus,Artiodactyla
Elaphurus_davidianus,Artiodactyla
Elasmodontomys_obliquus,Rodentia
Elephantulus_brachyrhynchus,Afrotheria
Elephantulus_edwardii,Afrotheria
Elephantulus_fuscipes,Afrotheria
Enhydra_lutris,Carnivora
Eoglaucomys_fimbriatus,Rodentia
Eolagurus_luteus,Rodentia
Eonycteris_major,Chiroptera
Eonycteris_robusta,Chiroptera
Eonycteris_spelaea,Chiroptera
Eospalax_fontanierii,Rodentia
Eothenomys_melanogaster,Rodentia
Episoriculus_caudatus,Eulipotyphla
Episoriculus_fumidus,Eulipotyphla
Epixerus_ebii,Rodentia
Epomophorus_angolensis,Chiroptera
Epomophorus_crypturus,Chiroptera
Epomophorus_gambianus,Chiroptera
Epomophorus_grandis,Chiroptera
Epomophorus_labiatus,Chiroptera
Epomophorus_minor,Chiroptera
Epomophorus_wahlbergi,Chiroptera
Epomops_buettikoferi,Chiroptera
Epomops_dobsonii,Chiroptera
Epomops_franqueti,Chiroptera
Eptesicus_bobrinskoi,Chiroptera
Eptesicus_bottae,Chiroptera
Eptesicus_brasiliensis,Chiroptera
Eptesicus_diminutus,Chiroptera
Eptesicus_dimissus,Chiroptera
Eptesicus_furinalis,Chiroptera
Eptesicus_fuscus,Chiroptera
Eptesicus_hottentotus,Chiroptera
Genetta_servalina,Carnivora
Genetta_thierryi,Carnivora
Genetta_tigrina,Carnivora
Genetta_victoriae,Carnivora
Geocapromys_brownii,Rodentia
Geocapromys_ingrahami,Rodentia
Geocapromys_thoracatus,Rodentia
Geogale_aurita,Afrotheria
Geomys_arenarius,Rodentia
Geomys_attwateri,Rodentia
Geomys_breviceps,Rodentia
Geomys_bursarius,Rodentia
Geomys_knoxjonesi,Rodentia
Geomys_personatus,Rodentia
Geomys_pinetis,Rodentia
Geomys_texensis,Rodentia
Geomys_tropicalis,Rodentia
Georychus_capensis,Rodentia
Geoxus_valdivianus,Rodentia
Gerbilliscus_afra,Rodentia
Gerbilliscus_boehmi,Rodentia
Gerbilliscus_brantsii,Rodentia
Gerbilliscus_guineae,Rodentia
Gerbilliscus_inclusus,Rodentia
Gerbilliscus_kempi,Rodentia
Gerbilliscus_leucogaster,Rodentia
Gerbilliscus_nigricaudus,Rodentia
Gerbilliscus_phillipsi,Rodentia
Gerbilliscus_robustus,Rodentia
Gerbilliscus_validus,Rodentia
Gerbillurus_paeba,Rodentia
Gerbillurus_setzeri,Rodentia
Gerbillurus_tytonis,Rodentia
Gerbillurus_vallinus,Rodentia
Gerbillus_amoenus,Rodentia
Gerbillus_andersoni,Rodentia
Gerbillus_cheesmani,Rodentia
Eschrichtius_robustus,Cetacea
Eubalaena_australis,Cetacea
Eubalaena_glacialis,Cetacea
Euchoreutes_naso,Rodentia
Euderma_maculatum,Chiroptera
Eudorcas_rufifrons,Artiodactyla
Eumops_auripendulus,Chiroptera
Eumops_bonariensis,Chiroptera
Eumops_dabbenei,Chiroptera
Eumops_glaucinus,Chiroptera
Eumops_hansae,Chiroptera
Exilisciurus_exilis,Rodentia
Exilisciurus_whiteheadi,Rodentia
Falsistrellus_mackenziei,Chiroptera
Falsistrellus_tasmaniensis,Chiroptera
Felis_bieti,Carnivora
Felis_catus,Carnivora
Felis_chaus,Carnivora
Felis_manul,Carnivora
Felis_margarita,Carnivora
Felis_nigripes,Carnivora
Graphiurus_ocularis,Rodentia
Graphiurus_platyops,Rodentia
Graphiurus_surdus,Rodentia
Gulo_gulo,Carnivora
Gymnobelideus_leadbeateri,Diprotodontia
Gymnuromys_roberti,Rodentia
Habromys_chinanteco,Rodentia
Habromys_lepturus,Rodentia
Habromys_lophurus,Rodentia
Habromys_simulatus,Rodentia
Halichoerus_grypus,Carnivora
Handleyomys_fuscatus,Rodentia
Handleyomys_intectus,Rodentia
Hapalemur_alaotrensis,Primates
Hapalemur_aureus,Primates
Hapalemur_griseus,Primates
Hapalomys_longicaudatus,Rodentia
Haplonycteris_fischeri,Chiroptera
Harpiocephalus_harpia,Chiroptera
Harpyionycteris_celebensis,Chiroptera
Harpyionycteris_whiteheadi,Chiroptera
Heimyscus_fumosus,Rodentia
Helarctos_malayanus,Carnivora
Heliophobius_argenteocinereus,Rodentia
Herpestes_ichneumon,Carnivora
Herpestes_javanicus,Carnivora
Herpestes_naso,Carnivora
Herpestes_smithii,Carnivora
Herpestes_urva,Carnivora
Felis_silvestris,Carnivora
Felovia_vae,Rodentia
Feresa_attenuata,Cetacea
Feroculus_feroculus,Eulipotyphla
Fossa_fossana,Carnivora
Funambulus_layardi,Rodentia
Funambulus_palmarum,Rodentia
Funambulus_pennantii,Rodentia
Funambulus_sublineatus,Rodentia
Funambulus_tristriatus,Rodentia
Funisciurus_anerythrus,Rodentia
Funisciurus_bayonii,Rodentia
Funisciurus_carruthersi,Rodentia
Funisciurus_congicus,Rodentia
Funisciurus_isabella,Rodentia
Funisciurus_lemniscatus,Rodentia
Funisciurus_leucogenys,Rodentia
Funisciurus_pyrropus,Rodentia
Funisciurus_substriatus,Rodentia
Furipterus_horrens,Chiroptera
Galago_alleni,Primates
Galago_demidoff,Primates
Galago_gallarum,Primates
Galago_matschiei,Primates
Galago_moholi,Primates
Galago_senegalensis,Primates
Gerbillus_henleyi,Rodentia
Gerbillus_latastei,Rodentia
Gerbillus_nanus,Rodentia
Gerbillus_nigeriae,Rodentia
Gerbillus_perpallidus,Rodentia
Gerbillus_pusillus,Rodentia
Gerbillus_pyramidum,Rodentia
Giraffa_camelopardalis,Artiodactyla
Glaucomys_sabrinus,Rodentia
Glaucomys_volans,Rodentia
Glauconycteris_argentata,Chiroptera
Glauconycteris_beatrix,Chiroptera
Glauconycteris_gleni,Chiroptera
Glauconycteris_humeralis,Chiroptera
Glauconycteris_kenyacola,Chiroptera
Glauconycteris_poensis,Chiroptera
Glauconycteris_variegata,Chiroptera
Glironia_venusta,Ameridelphia
Glirulus_japonicus,Rodentia
Glis_glis,Rodentia
Glischropus_tylopus,Chiroptera
Globicephala_macrorhynchus,Cetacea
Globicephala_melas,Cetacea
Glossophaga_commissarisi,Chiroptera
Glossophaga_leachii,Chiroptera
Glossophaga_longirostris,Chiroptera
Glossophaga_morenoi,Chiroptera
Glossophaga_soricina,Chiroptera
Glyphonycteris_daviesi,Chiroptera
Glyphonycteris_sylvestris,Chiroptera
Golunda_ellioti,Rodentia
Gorilla_beringei,Primates
Gorilla_gorilla,Primates
Gracilinanus_aceramarcae,Ameridelphia
Gracilinanus_agilis,Ameridelphia
Gracilinanus_dryas,Ameridelphia
Gracilinanus_emiliae,Ameridelphia
Gracilinanus_marica,Ameridelphia
Grammomys_ibeanus,Rodentia
Grammomys_macmillani,Rodentia
Grammomys_minnae,Rodentia
Grammomys_poensis,Rodentia
Grampus_griseus,Cetacea
Graomys_domorum,Rodentia
Graomys_edithae,Rodentia
Graomys_griseoflavus,Rodentia
Graphiurus_christyi,Rodentia
Graphiurus_crassicaudatus,Rodentia
Graphiurus_kelleni,Rodentia
Graphiurus_lorraineus,Rodentia
Graphiurus_murinus,Rodentia
Graphiurus_nagtglasii,Rodentia
Gracilinanus_microtarsus,Ameridelphia
Grammomys_cometes,Rodentia
Grammomys_dolichurus,Rodentia
Isthmomys_pirrensis,Rodentia
Jaculus_blanfordi,Rodentia
Jaculus_jaculus,Rodentia
Jaculus_orientalis,Rodentia
Juliomys_pictipes,Rodentia
Juscelinomys_candango,Rodentia
Kadarsanomys_sodyi,Rodentia
Kannabateomys_amblyonyx,Rodentia
Kerivoula_argentata,Chiroptera
Kerivoula_cuprosa,Chiroptera
Heliosciurus_gambianus,Rodentia
Heliosciurus_mutabilis,Rodentia
Heliosciurus_punctatus,Rodentia
Heliosciurus_rufobrachium,Rodentia
Heliosciurus_ruwenzorii,Rodentia
Heliosciurus_undulatus,Rodentia
Helogale_hirtula,Carnivora
Helogale_parvula,Carnivora
Hemibelideus_lemuroides,Diprotodontia
Hemicentetes_nigriceps,Afrotheria
Hemicentetes_semispinosus,Afrotheria
Hemiechinus_auritus,Eulipotyphla
Hemiechinus_collaris,Eulipotyphla
Hemigalus_derbyanus,Carnivora
Hemitragus_hylocrius,Artiodactyla
Hemitragus_jayakari,Artiodactyla
Hemitragus_jemlahicus,Artiodactyla
Herpestes_brachyurus,Carnivora
Herpestes_edwardsi,Carnivora
Hexaprotodon_liberiensis,Artiodactyla
Hippocamelus_antisensis,Artiodactyla
Hippocamelus_bisulcus,Artiodactyla
Hippopotamus_amphibius,Artiodactyla
Hipposideros_abae,Chiroptera
Hipposideros_armiger,Chiroptera
Hipposideros_ater,Chiroptera
Hipposideros_beatus,Chiroptera
Hipposideros_bicolor,Chiroptera
Hipposideros_caffer,Chiroptera
Hipposideros_cervinus,Chiroptera
Hipposideros_cineraceus,Chiroptera
Hipposideros_commersoni,Chiroptera
Hipposideros_corynophyllus,Chiroptera
Hipposideros_cyclops,Chiroptera
Hipposideros_diadema,Chiroptera
Hipposideros_doriae,Chiroptera
Hipposideros_fulvus,Chiroptera
Hipposideros_galeritus,Chiroptera
Hipposideros_gigas,Chiroptera
Hipposideros_halophyllus,Chiroptera
Hipposideros_inornatus,Chiroptera
Hipposideros_jonesi,Chiroptera
Hipposideros_lankadiva,Chiroptera
Hipposideros_larvatus,Chiroptera
Hipposideros_lekaguli,Chiroptera
Hipposideros_lylei,Chiroptera
Hipposideros_maggietaylorae,Chiroptera
Hipposideros_obscurus,Chiroptera
Hipposideros_pomona,Chiroptera
Hipposideros_pygmaeus,Chiroptera
Hipposideros_ridleyi,Chiroptera
Hipposideros_ruber,Chiroptera
Hipposideros_semoni,Chiroptera
Hipposideros_speoris,Chiroptera
Hipposideros_stenotis,Chiroptera
Hipposideros_turpis,Chiroptera
Hipposideros_wollastoni,Chiroptera
Hippotragus_equinus,Artiodactyla
Hippotragus_leucophaeus,Artiodactyla
Hippotragus_niger,Artiodactyla
Histiotus_macrotus,Chiroptera
Histiotus_velatus,Chiroptera
Histriophoca_fasciata,Carnivora
Hodomys_alleni,Rodentia
Holochilus_brasiliensis,Rodentia
Holochilus_chacarius,Rodentia
Holochilus_sciureus,Rodentia
Homo_sapiens,Primates
Hoplomys_gymnurus,Rodentia
Hyaena_brunnea,Carnivora
Hyaena_hyaena,Carnivora
Hybomys_planifrons,Rodentia
Hybomys_trivirgatus,Rodentia
Hybomys_univittatus,Rodentia
Hydrictis_maculicollis,Carnivora
Hydrochoerus_hydrochaeris,Rodentia
Hydrochoerus_isthmius,Rodentia
Hydrodamalis_gigas,Afrotheria
Hydromys_chrysogaster,Rodentia
Hydromys_habbema,Rodentia
Hydromys_hussoni,Rodentia
Hydromys_neobritannicus,Rodentia
Hydromys_shawmayeri,Rodentia
Hydropotes_inermis,Artiodactyla
Hydrurga_leptonyx,Carnivora
Hyemoschus_aquaticus,Artiodactyla
Hylobates_agilis,Primates
Hylobates_klossii,Primates
Hylobates_lar,Primates
Herpestes_vitticollis,Carnivora
Hesperoptenus_blanfordi,Chiroptera
Heteromys_gaumeri,Rodentia
Heteromys_nelsoni,Rodentia
Heteromys_oresterus,Rodentia
Lampronycteris_brachyotis,Chiroptera
Lariscus_hosei,Rodentia
Lariscus_insignis,Rodentia
Lariscus_obscurus,Rodentia
Lasionycteris_noctivagans,Chiroptera
Lasiurus_borealis,Chiroptera
Lasiurus_castaneus,Chiroptera
Lasiurus_cinereus,Chiroptera
Lasiurus_ebenus,Chiroptera
Lasiurus_ega,Chiroptera
Lasiurus_intermedius,Chiroptera
Lasiurus_seminolus,Chiroptera
Lavia_frons,Chiroptera
Leggadina_forresti,Rodentia
Leggadina_lakedownensis,Rodentia
Leimacomys_buettneri,Rodentia
Lemmiscus_curtatus,Rodentia
Marmosa_andersoni,Ameridelphia
Marmosa_lepida,Ameridelphia
Marmosa_mexicana,Ameridelphia
Marmosa_murina,Ameridelphia
Marmosa_quichua,Ameridelphia
Marmosa_robinsoni,Ameridelphia
Marmosa_rubra,Ameridelphia
Marmosa_tyleriana,Ameridelphia
Marmosa_xerophila,Ameridelphia
Marmosops_cracens,Ameridelphia
Marmosops_dorothea,Ameridelphia
Marmosops_fuscatus,Ameridelphia
Marmosops_handleyi,Ameridelphia
Marmosops_impavidus,Ameridelphia
Marmosops_incanus,Ameridelphia
Marmosops_invictus,Ameridelphia
Hylobates_moloch,Primates
Hylobates_muelleri,Primates
Hylobates_pileatus,Primates
Hylochoerus_meinertzhageni,Artiodactyla
Hylomys_suillus,Eulipotyphla
Hylomyscus_aeta,Rodentia
Hylomyscus_alleni,Rodentia
Hylomyscus_denniae,Rodentia
Hylomyscus_parvus,Rodentia
Hylomyscus_stella,Rodentia
Hylonycteris_underwoodi,Chiroptera
Hylopetes_alboniger,Rodentia
Hylopetes_lepidus,Rodentia
Hylopetes_phayrei,Rodentia
Hylopetes_platyurus,Rodentia
Hylopetes_spadiceus,Rodentia
Hyomys_dammermani,Rodentia
Hyomys_goliath,Rodentia
Hyperacrius_fertilis,Rodentia
Hyperacrius_wynnei,Rodentia
Hyperoodon_ampullatus,Cetacea
Hyperoodon_planifrons,Cetacea
Hypogeomys_antimena,Rodentia
Hypsignathus_monstrosus,Chiroptera
Hypsiprymnodon_moschatus,Diprotodontia
Hypsugo_arabicus,Chiroptera
Hypsugo_bodenheimeri,Chiroptera
Hypsugo_cadornae,Chiroptera
Hypsugo_crassulus,Chiroptera
Hypsugo_eisentrauti,Chiroptera
Hypsugo_imbricatus,Chiroptera
Hypsugo_pulveratus,Chiroptera
Hypsugo_savii,Chiroptera
Hystrix_africaeaustralis,Rodentia
Hystrix_brachyura,Rodentia
Hystrix_crassispinis,Rodentia
Hystrix_cristata,Rodentia
Hystrix_indica,Rodentia
Hystrix_javanica,Rodentia
Hystrix_pumila,Rodentia
Hystrix_sumatrae,Rodentia
Ia_io,Chiroptera
Ichneumia_albicauda,Carnivora
Ichthyomys_hydrobates,Rodentia
Ichthyomys_pittieri,Rodentia
Ichthyomys_stolzmanni,Rodentia
Ichthyomys_tweedii,Rodentia
Ictonyx_libyca,Carnivora
Ictonyx_striatus,Carnivora
Idionycteris_phyllotis,Chiroptera
Idiurus_macrotis,Rodentia
Idiurus_zenkeri,Rodentia
Indopacetus_pacificus,Cetacea
Indri_indri,Primates
Inia_geoffrensis,Cetacea
Iomys_horsfieldii,Rodentia
Irenomys_tarsalis,Rodentia
Isoodon_auratus,other Australidelphia
Isoodon_macrourus,other Australidelphia
Isoodon_obesulus,other Australidelphia
Isothrix_bistriata,Rodentia
Isothrix_pagurus,Rodentia
Isothrix_sinnamariensis,Rodentia
Kerivoula_flora,Chiroptera
Kerivoula_hardwickii,Chiroptera
Kerivoula_lanosa,Chiroptera
Kerivoula_minuta,Chiroptera
Kerivoula_muscina,Chiroptera
Kerivoula_papillosa,Chiroptera
Kerivoula_pellucida,Chiroptera
Kerivoula_phalaena,Chiroptera
Kerivoula_picta,Chiroptera
Kerivoula_smithii,Chiroptera
Kerivoula_whiteheadi,Chiroptera
Kerodon_rupestris,Rodentia
Kobus_ellipsiprymnus,Artiodactyla
Kobus_kob,Artiodactyla
Kobus_leche,Artiodactyla
Kobus_megaceros,Artiodactyla
Kobus_vardonii,Artiodactyla
Kogia_breviceps,Cetacea
Kogia_sima,Cetacea
Kunsia_fronto,Rodentia
Kunsia_tomentosus,Rodentia
Laephotis_botswanae,Chiroptera
Laephotis_wintoni,Chiroptera
Lagenodelphis_hosei,Cetacea
Lagenorhynchus_acutus,Cetacea
Lagenorhynchus_albirostris,Cetacea
Lagenorhynchus_australis,Cetacea
Lagenorhynchus_cruciger,Cetacea
Lagenorhynchus_obliquidens,Cetacea
Lagenorhynchus_obscurus,Cetacea
Lagidium_peruanum,Rodentia
Lagidium_viscacia,Rodentia
Lagidium_wolffsohni,Rodentia
Lagorchestes_asomatus,Diprotodontia
Lagorchestes_conspicillatus,Diprotodontia
Lagorchestes_hirsutus,Diprotodontia
Lagorchestes_leporides,Diprotodontia
Manis_gigantea,Pholidota
Manis_javanica,Pholidota
Manis_pentadactyla,Pholidota
Manis_temminckii,Pholidota
Manis_tetradactyla,Pholidota
Manis_tricuspis,Pholidota
Meriones_meridianus,Rodentia
Meriones_persicus,Rodentia
Meriones_sacramenti,Rodentia
Meriones_shawi,Rodentia
Meriones_tamariscinus,Rodentia
Meriones_tristrami,Rodentia
Meriones_unguiculatus,Rodentia
Meriones_vinogradovi,Rodentia
Mesembriomys_gouldii,Rodentia
Mesembriomys_macrurus,Rodentia
Megaerops_niphanae,Chiroptera
Megaerops_wetmorei,Chiroptera
Megaloglossus_woermanni,Chiroptera
Molossus_pretiosus,Chiroptera
Molossus_sinaloae,Chiroptera
Monachus_monachus,Carnivora
Monachus_schauinslandi,Carnivora
Monachus_tropicalis,Carnivora
Monodelphis_adusta,Ameridelphia
Monodelphis_americana,Ameridelphia
Monodelphis_brevicaudata,Ameridelphia
Monodelphis_dimidiata,Ameridelphia
Monodelphis_domestica,Ameridelphia
Monodelphis_emiliae,Ameridelphia
Monodelphis_iheringi,Ameridelphia
Monodelphis_kunsi,Ameridelphia
Monodelphis_osgoodi,Ameridelphia
Megaptera_novaeangliae,Cetacea
Megasorex_gigas,Eulipotyphla
Melanomys_caliginosus,Rodentia
Melanomys_robustulus,Rodentia
Melanomys_zunigae,Rodentia
Meles_meles,Carnivora
Mellivora_capensis,Carnivora
Miopithecus_talapoin,Primates
Mirounga_angustirostris,Carnivora
Mirounga_leonina,Carnivora
Mirza_coquereli,Primates
Mogera_imaizumii,Eulipotyphla
Mogera_insularis,Eulipotyphla
Mogera_tokudae,Eulipotyphla
Mogera_wogura,Eulipotyphla
Molossops_mattogrossensis,Chiroptera
Molossops_temminckii,Chiroptera
Molossus_aztecus,Chiroptera
Molossus_currentium,Chiroptera
Molossus_molossus,Chiroptera
Monodelphis_rubida,Ameridelphia
Monodelphis_scalops,Ameridelphia
Monodelphis_sorex,Ameridelphia
Monodelphis_theresa,Ameridelphia
Monodelphis_unistriata,Ameridelphia
Monodon_monoceros,Cetacea
Monophyllus_plethodon,Chiroptera
Monophyllus_redmani,Chiroptera
Monticolomys_koopmani,Rodentia
Mops_brachypterus,Chiroptera
Mops_condylurus,Chiroptera
Mops_congicus,Chiroptera
Mops_demonstrator,Chiroptera
Mops_leucostigma,Chiroptera
Mops_midas,Chiroptera
Mops_mops,Chiroptera
Mops_nanulus,Chiroptera
Mops_niveiventer,Chiroptera
Mops_spurrelli,Chiroptera
Mops_thersites,Chiroptera
Mops_trevori,Chiroptera
Mormoops_blainvillei,Chiroptera
Mormoops_megalophylla,Chiroptera
Mormopterus_beccarii,Chiroptera
Mormopterus_jugularis,Chiroptera
Mormopterus_loriae,Chiroptera
Mormopterus_norfolkensis,Chiroptera
Mormopterus_planiceps,Chiroptera
Moschiola_meminna,Artiodactyla
Moschus_berezovskii,Artiodactyla
Moschus_chrysogaster,Artiodactyla
Moschus_fuscus,Artiodactyla
Moschus_moschiferus,Artiodactyla
Mosia_nigrescens,Chiroptera
Mungos_gambianus,Carnivora
Mungos_mungo,Carnivora
Mungotictis_decemlineata,Carnivora
Muntiacus_atherodes,Artiodactyla
Muntiacus_crinifrons,Artiodactyla
Marmosops_noctivagus,Ameridelphia
Marmosops_parvidens,Ameridelphia
Marmosops_paulensis,Ameridelphia
Marmota_baibacina,Rodentia
Marmota_bobak,Rodentia
Marmota_caligata,Rodentia
Marmota_camtschatica,Rodentia
Marmota_caudata,Rodentia
Marmota_flaviventris,Rodentia
Marmota_marmota,Rodentia
Marmota_menzbieri,Rodentia
Marmota_monax,Rodentia
Marmota_olympus,Rodentia
Marmota_sibirica,Rodentia
Lemmus_lemmus,Rodentia
Lemmus_sibiricus,Rodentia
Lemmus_trimucronatus,Rodentia
Lemniscomys_barbarus,Rodentia
Lemniscomys_griselda,Rodentia
Lasiorhinus_krefftii,Diprotodontia
Lasiorhinus_latifrons,Diprotodontia
Lemniscomys_macculus,Rodentia
Lemniscomys_mittendorfi,Rodentia
Lemniscomys_rosalia,Rodentia
Lemniscomys_striatus,Rodentia
Lemur_catta,Primates
Lenothrix_canus,Rodentia
Lenoxus_apicalis,Rodentia
Leontopithecus_caissara,Primates
Leontopithecus_chrysomelas,Primates
Leontopithecus_chrysopygus,Primates
Leontopithecus_rosalia,Primates
Leopardus_jacobitus,Carnivora
Leopardus_pardalis,Carnivora
Leopardus_wiedii,Carnivora
Leopoldamys_edwardsi,Rodentia
Leopoldamys_sabanus,Rodentia
Lepilemur_dorsalis,Primates
Lepilemur_edwardsi,Primates
Lepilemur_leucopus,Primates
Lepilemur_microdon,Primates
Lepilemur_mustelinus,Primates
Lepilemur_ruficaudatus,Primates
Lepilemur_septentrionalis,Primates
Leporillus_apicalis,Rodentia
Leporillus_conditor,Rodentia
Leptailurus_serval,Carnivora
Leptomys_elegans,Rodentia
Leptomys_ernstmayri,Rodentia
Leptomys_signatus,Rodentia
Leptonychotes_weddellii,Carnivora
Leptonycteris_curasoae,Chiroptera
Leptonycteris_nivalis,Chiroptera
Leptonycteris_yerbabuenae,Chiroptera
Lepus_alleni,Lagomorpha
Lepus_americanus,Lagomorpha
Lepus_arcticus,Lagomorpha
Lepus_brachyurus,Lagomorpha
Lepus_californicus,Lagomorpha
Lepus_callotis,Lagomorpha
Lepus_capensis,Lagomorpha
Lepus_castroviejoi,Lagomorpha
Lepus_comus,Lagomorpha
Lepus_europaeus,Lagomorpha
Lepus_flavigularis,Lagomorpha
Lepus_granatensis,Lagomorpha
Lepus_habessinicus,Lagomorpha
Lepus_hainanus,Lagomorpha
Lepus_mandshuricus,Lagomorpha
Lepus_microtis,Lagomorpha
Lepus_nigricollis,Lagomorpha
Lepus_oiostolus,Lagomorpha
Lepus_othus,Lagomorpha
Lepus_peguensis,Lagomorpha
Lepus_saxatilis,Lagomorpha
Lepus_sinensis,Lagomorpha
Lepus_starcki,Lagomorpha
Lepus_timidus,Lagomorpha
Lepus_tolai,Lagomorpha
Lepus_townsendii,Lagomorpha
Lepus_yarkandensis,Lagomorpha
Lestodelphys_halli,Ameridelphia
Lestoros_inca,Ameridelphia
Liberiictis_kuhni,Carnivora
Lichonycteris_obscura,Chiroptera
Limnogale_mergulus,Afrotheria
Liomys_adspersus,Rodentia
Liomys_irroratus,Rodentia
Liomys_pictus,Rodentia
Liomys_salvini,Rodentia
Liomys_spectabilis,Rodentia
Lionycteris_spurrelli,Chiroptera
Lipotes_vexillifer,Cetacea
Lissodelphis_borealis,Cetacea
Lissodelphis_peronii,Cetacea
Lissonycteris_angolensis,Chiroptera
Litocranius_walleri,Artiodactyla
Lobodon_carcinophaga,Carnivora
Lonchophylla_mordax,Chiroptera
Lonchophylla_robusta,Chiroptera
Lonchophylla_thomasi,Chiroptera
Lonchorhina_aurita,Chiroptera
Lonchorhina_marinkellei,Chiroptera
Lonchorhina_orinocensis,Chiroptera
Lonchothrix_emiliae,Rodentia
Lontra_canadensis,Carnivora
Lontra_felina,Carnivora
Lontra_longicaudis,Carnivora
Lontra_provocax,Carnivora
Lophiomys_imhausi,Rodentia
Lophocebus_albigena,Primates
Lophocebus_aterrimus,Primates
Lophostoma_brasiliense,Chiroptera
Lophostoma_carrikeri,Chiroptera
Lophostoma_evotis,Chiroptera
Lophostoma_schulzi,Chiroptera
Lophostoma_silvicolum,Chiroptera
Lophuromys_flavopunctatus,Rodentia
Lophuromys_luteogaster,Rodentia
Lophuromys_melanonyx,Rodentia
Lophuromys_nudicaudus,Rodentia
Lophuromys_rahmi,Rodentia
Lophuromys_sikapusi,Rodentia
Lophuromys_woosnami,Rodentia
Lorentzimys_nouhuysi,Rodentia
Loris_lydekkerianus,Primates
Loris_tardigradus,Primates
Loxodonta_africana,Afrotheria
Loxodonta_cyclotis,Afrotheria
Loxodontomys_micropus,Rodentia
Lundomys_molitor,Rodentia
Lutra_lutra,Carnivora
Lutra_sumatrana,Carnivora
Lutreolina_crassicaudata,Ameridelphia
Lutrogale_perspicillata,Carnivora
Lycalopex_culpaeus,Carnivora
Lycalopex_gymnocercus,Carnivora
Lycalopex_sechurae,Carnivora
Lycalopex_vetulus,Carnivora
Lycaon_pictus,Carnivora
Lyncodon_patagonicus,Carnivora
Lynx_canadensis,Carnivora
Lynx_lynx,Carnivora
Lynx_pardinus,Carnivora
Lynx_rufus,Carnivora
Macaca_arctoides,Primates
Macaca_assamensis,Primates
Macaca_cyclopis,Primates
Macaca_fascicularis,Primates
Macaca_fuscata,Primates
Macaca_maura,Primates
Macaca_mulatta,Primates
Macaca_nemestrina,Primates
Macaca_nigra,Primates
Macaca_ochreata,Primates
Macaca_pagensis,Primates
Macaca_radiata,Primates
Macaca_silenus,Primates
Macaca_sinica,Primates
Macaca_sylvanus,Primates
Macaca_thibetana,Primates
